### new data April  2024  taken by Sean Doran
##theta_I,trial,  b0,  b45,  b90, b135, b180, b225, b270, b315
80      ,    1, 1.53, 0.95, 0.57, 0.41, 0.31, 0.45, 0.85, 1.44
80      ,    2, 1.87, 1.15, 0.61, 0.48, 0.39, 0.52, 0.82, 1.94
80      ,    3, 1.50, 0.92, 0.77, 0.47, 0.48, 0.84, 1.06, 1.64
80      ,    4, 0.81, 0.84, 0.71, 0.63, 0.63, 1.29, 1.75, 1.33
80      ,    5, 1.54, 1.27, 1.33, 0.51, 0.34, 0.37, 0.67, 0.92
80      ,    6, 1.13, 0.78, 0.68, 0.59, 0.40, 0.45, 1.08, 1.10
70      ,    1, 1.79, 1.74, 1.17, 0.46, 0.27, 0.26, 0.71, 1.38
70      ,    2, 1.42, 1.19, 0.66, 0.55, 0.27, 0.67, 0.87, 1.24
70      ,    3, 1.38, 1.50, 1.03, 0.42, 0.32, 0.43, 0.87, 1.28
70      ,    4, 1.95, 1.83, 0.76, 0.26, 0.20, 0.19, 0.51, 1.25
70      ,    5, 1.67, 1.92, 1.40, 0.51, 0.36, 0.41, 0.53, 1.06
70      ,    6, 2.10, 1.50, 0.55, 0.22, 0.18, 0.14, 0.41, 1.52
60      ,    1, 2.25, 1.71, 0.77, 0.32, 0.15, 0.36, 0.69, 1.49
60      ,    2, 2.06, 1.35, 0.51, 0.20, 0.23, 0.37, 0.76, 1.67
60      ,    3, 1.77, 1.55, 0.80, 0.19, 0.14, 0.19, 0.63, 1.25
60      ,    4, 2.06, 1.96, 0.40, 0.11, 0.07, 0.21, 0.40, 1.41
60      ,    5, 0.98, 0.73, 0.57, 0.89, 0.64, 0.79, 0.74, 0.69
60      ,    6, 0.87, 0.82, 1.00, 0.84, 0.56, 0.46, 0.74, 0.88
50      ,    1, 1.07, 1.41, 0.93, 0.56, 0.23, 0.29, 0.57, 1.49
50      ,    2, 0.63, 1.31, 0.65, 0.37, 0.35, 0.69, 1.13, 1.47
50      ,    3, 1.15, 2.23, 1.35, 0.42, 0.13, 0.36, 0.45, 0.87
50      ,    4, 1.22, 2.30, 1.29, 0.30, 0.10, 0.21, 0.46, 1.30
50      ,    5, 1.06, 1.77, 0.96, 0.17, 0.01, 0.12, 0.41, 1.46
50      ,    6, 1.14, 1.56, 0.54, 0.30, 0.11, 0.30, 0.60, 1.61
40      ,    1, 1.96, 1.63, 1.24, 0.23, 0.04, 0.17, 0.60, 1.09
40      ,    2, 1.75, 1.17, 0.53, 0.16, 0.01, 0.10, 0.88, 1.63
40      ,    3, 1.34, 0.98, 0.90, 0.44, 0.12, 0.36, 0.79, 1.15
40      ,    4, 2.03, 1.79, 0.95, 0.15, 0.01, 0.12, 0.47, 1.47
40      ,    5, 1.99, 1.77, 1.14, 0.25, 0.01, 0.08, 0.55, 1.26
40      ,    6, 1.77, 1.61, 1.54, 0.46, 0.11, 0.13, 0.70, 1.02
30      ,    1, 0.35, 0.34, 0.55, 0.52, 0.08, 0.35, 0.47, 0.53
30      ,    2, 1.24, 0.94, 0.24, 0.05, 0.04, 0.01, 0.26, 0.78
30      ,    3, 0.74, 0.62, 0.53, 0.42, 0.07, 0.35, 0.54, 0.56
30      ,    4, 0.99, 0.49, 0.29, 0.25, 0.24, 0.24, 0.39, 0.58
30      ,    5, 0.85, 0.74, 0.54, 0.35, 0.23, 0.32, 0.46, 0.73
30      ,    6, 0.90, 0.73, 0.63, 0.38, 0.23, 0.41, 0.58, 0.76
20      ,    1, 0.53, 0.70, 0.26, 0.01, 0.01, 0.01, 0.04, 0.39
20      ,    2, 0.24, 0.65, 0.61, 0.01, 0.01, 0.09, 0.21, 0.24
20      ,    3, 0.56, 0.83, 0.26, 0.01, 0.01, 0.02, 0.15, 0.37
20      ,    4, 0.06, 0.01, 0.01, 0.00, 0.00, 0.01, 0.02, 0.02
20      ,    5, 0.10, 0.30, 0.93, 0.73, 0.37, 0.40, 0.93, 0.35  
20      ,    6, 0.06, 0.23, 0.42, 0.46, 0.40, 0.78, 0.89, 0.45
#20      ,    5, 0.21, 0.19, 0.10, 0.01, 0.00, 0.01, 0.17, 0.18
#20      ,    6, 0.03, 0.20, 0.20, 0.01, 0.00, 0.01, 0.01, 0.02
